Date,Price,Open,High,Low,Vol,Change %
2023-03-31,2.6206,2.5716,2.6253,2.5576,,2.22%
2023-03-30,2.5638,2.5557,2.5948,2.5426,56.44K,-0.11%
2023-03-29,2.5665,2.639,2.6562,2.5527,73.73K,-3.01%
2023-03-28,2.6461,2.6414,2.6811,2.624,60.89K,-0.20%
2023-03-27,2.6515,2.585,2.6608,2.5656,64.27K,-1.62%
2023-03-24,2.6952,2.6847,2.725,2.6188,27.64K,0.39%
2023-03-23,2.6847,2.715,2.7581,2.6724,35.00K,3.01%
2023-03-22,2.6063,2.5709,2.6374,2.5438,61.32K,1.30%
2023-03-21,2.5729,2.5571,2.5793,2.5112,48.04K,0.59%
2023-03-20,2.5578,2.54,2.5718,2.4575,45.13K,0.42%
2023-03-17,2.5472,2.53,2.6102,2.5038,52.18K,0.45%
2023-03-16,2.5358,2.5162,2.5467,2.4238,46.45K,1.17%
2023-03-15,2.5065,2.635,2.66,2.4469,50.92K,-7.66%
2023-03-14,2.7144,2.7704,2.796,2.7017,45.56K,-1.71%
2023-03-13,2.7615,2.7792,2.808,2.6456,60.54K,-0.41%
2023-03-10,2.7729,2.6664,2.7923,2.6294,56.65K,3.90%
2023-03-09,2.6689,2.7331,2.78,2.6647,55.82K,-2.66%
2023-03-08,2.7419,2.7842,2.8058,2.7168,56.16K,-1.99%
2023-03-07,2.7975,2.8894,2.9065,2.7742,49.75K,-3.09%
2023-03-06,2.8866,2.9099,2.91,2.831,40.50K,-0.91%
2023-03-03,2.9131,2.8527,2.9198,2.8005,43.77K,1.64%
2023-03-02,2.8662,2.8718,2.9107,2.8382,56.68K,-0.26%
2023-03-01,2.8738,2.7982,2.8753,2.792,44.21K,1.88%
2023-02-28,2.8209,2.8199,2.8613,2.7947,3.55K,0.04%
2023-02-27,2.8198,2.8006,2.84,2.7779,18.22K,1.90%
2023-02-24,2.7671,2.703,2.7795,2.6662,52.30K,2.84%
2023-02-23,2.6908,2.6875,2.7288,2.6517,65.05K,-0.41%
2023-02-22,2.7018,2.7728,2.7882,2.6869,48.48K,-3.23%
2023-02-21,2.7919,2.7306,2.82,2.6935,34.04K,1.40%
2023-02-20,2.7534,2.7367,2.7817,2.7182,,0.61%
2023-02-19,2.7368,2.7396,2.7399,2.7305,,0.91%
2023-02-17,2.7121,2.795,2.7965,2.6577,34.78K,-3.51%
2023-02-16,2.8108,2.8444,2.8874,2.7816,24.41K,-1.18%
2023-02-15,2.8444,2.9179,2.93,2.802,33.75K,-3.25%
2023-02-14,2.9401,2.8862,2.9496,2.8524,40.02K,1.18%
2023-02-13,2.9057,2.87,2.9223,2.8188,38.25K,1.43%
2023-02-10,2.8646,2.8175,2.9129,2.8027,41.34K,1.75%
2023-02-09,2.8154,2.9009,2.93,2.7905,42.55K,-2.69%
2023-02-08,2.8933,2.908,2.9774,2.8629,50.42K,-0.38%
